id,category_id,en,pronunciation_si,meaning_si,level
just-give-it-to-me-straight,s-everyday-conversations,Just give it to me straight.,ජස්ට් ගිව් ඉට් ටු මී ස්ට්‍රේට්,වටේ යන්නේ නැතුව කෙලින්ම කියන්න.,intermediate
be-straight-with-me,s-everyday-conversations,Be straight with me.,බී ස්ට්‍රේට් විත් මී,මට කෙලින්ම ඇත්ත කියන්න.,beginner
id-rather-know-the-truth,s-everyday-conversations,I'd rather know the truth.,අයිඩ් රැදර් නෝ ද ට්‍රූත්,මට ඇත්ත දැනගන්න එක හොඳයි.,beginner
i-can-handle-the-truth,s-everyday-conversations,I can handle the truth.,අයි කැන් හැන්ඩල් ද ට්‍රූත්,ඇත්ත අහන්න මට පුළුවන්.,beginner
just-tell-me-what-happened,s-everyday-conversations,Just tell me what happened.,ජස්ට් ටෙල් මී වට් හැපන්ඩ්,වුණ දේ කෙලින්ම කියන්න.,beginner
i-wont-get-mad,s-everyday-conversations,I won't get mad.,අයි වෝන්ට් ගෙට් මැඩ්,මම තරහ ගන්නේ නෑ.,beginner
im-not-angry,s-feelings-emotions,I'm not angry.,අයිම් නොට් ඇන්ග්‍රි,මට තරහ නෑ.,beginner
im-just-disappointed,s-everyday-conversations,I'm just disappointed.,අයිම් ජස්ට් ඩිසපොයින්ටිඩ්,මට ටිකක් කලකිරීමයි.,beginner
i-expected-better,s-everyday-conversations,I expected better.,අයි එක්ස්පෙක්ටිඩ් බෙටර්,මම ඊට වඩා හොඳ දෙයක් බලාපොරොත්තු වුණා.,beginner
that-wasnt-fair,s-everyday-conversations,That wasn't fair.,දැට් වොසන්ට් ෆෙයාර්,ඒක සාධාරණ නෑ.,beginner
that-wasnt-necessary,s-everyday-conversations,That wasn't necessary.,දැට් වොසන්ට් නෙසෙසරි,ඒක කරන්න ඕනම නෑ.,beginner
that-was-uncalled-for,s-everyday-conversations,That was uncalled for.,දැට් වස් අන්කෝල්ඩ් ෆෝ,ඒ විදිහට හැසිරෙන්න කිසිම අවශ්‍යතාවක් තිබුණේ නෑ.,beginner
you-didnt-have-to-say-that,s-everyday-conversations,You didn't have to say that.,යූ ඩිඩ්න්ට් හැව් ටු සේ දැට්,ඔයාට ඒක කියන්න ඕන නෑ.,intermediate
that-was-a-bit-harsh,s-everyday-conversations,That was a bit harsh.,දැට් වස් අ බිට් හාර්ෂ්,ඒක ටිකක් තද වැඩියි.,beginner
i-think-you-went-too-far,s-everyday-conversations,I think you went too far.,අයි තිංක් යූ වෙන්ට් ටූ ෆාර්,මම හිතන්නේ ඔයා සීමාව පහු කළා.,intermediate
lets-keep-this-respectful,s-everyday-conversations,Let's keep this respectful.,ලෙට්ස් කීප් දිස් රිස්පෙක්ට්ෆුල්,අපි ගෞරවයෙන් කතා කරමු.,beginner
theres-no-need-to-be-rude,s-everyday-conversations,There's no need to be rude.,දෙයාර්ස් නෝ නීඩ් ටු බී රූඩ්,අගෞරවයෙන් කතා කරන්න ඕන නෑ.,intermediate
lets-keep-things-civil,s-everyday-conversations,Let's keep things civil.,ලෙට්ස් කීප් තිංස් සිවිල්,"අපි ශාන්තව, ගෞරවයෙන් කතා කරමු.",beginner
lower-your-voice-please,s-making-requests,"Lower your voice, please.","ලෝවර් යෝර් වොයිස්, ප්ලීස්",කරුණාකර හඬ ටිකක් අඩු කරන්න.,beginner
theres-no-need-to-shout,s-everyday-conversations,There's no need to shout.,දෙයාර්ස් නෝ නීඩ් ටු ෂවුට්,කෑගහන්න ඕන නෑ.,beginner
lets-talk-calmly,s-everyday-conversations,Let's talk calmly.,ලෙට්ස් ටෝක් කාම්ලි,අපි සන්සුන්ව කතා කරමු.,beginner
im-willing-to-listen,s-everyday-conversations,I'm willing to listen.,අයිම් විලිං ටු ලිසන්,මම ඔයා කියන දේ අහන්න කැමතියි.,beginner
lets-meet-halfway,s-making-plans,Let's meet halfway.,ලෙට්ස් මීට් හාෆ්වේ,දෙන්නාම ටිකක් සම්මුතියකට එමු.,beginner
can-we-compromise,s-asking-questions,Can we compromise?,කැන් වී කොම්ප්‍රමයිස්?,අපි දෙන්නටම හරි යන මැද විසඳුමක් ගන්න පුළුවන්ද?,beginner
lets-find-some-middle-ground,s-everyday-conversations,Let's find some middle ground.,ලෙට්ස් ෆයින්ඩ් සම් මිඩ්ල් ග්‍රවුන්ඩ්,දෙන්නටම හරි යන අතරමැදි විසඳුමක් හොයමු.,beginner
im-willing-to-compromise,s-everyday-conversations,I'm willing to compromise.,අයිම් විලිං ටු කොම්ප්‍රමයිස්,මමත් ටිකක් වෙනස් වෙලා එකඟතාවකට එන්න කැමතියි.,beginner
that-seems-reasonable,s-everyday-conversations,That seems reasonable.,දැට් සීම්ස් රීසනබල්,ඒක සාධාරණයි වගේ.,beginner
i-can-live-with-that,s-everyday-conversations,I can live with that.,අයි කැන් ලිව් විත් දැට්.,ඒක පිළිගෙන ඉන්න මට පුළුවන්.,beginner
that-seems-fair-enough,s-everyday-conversations,That seems fair enough.,දැට් සීම්ස් ෆෙයාර් ඉනෆ්,ඒක සාධාරණයි වගේ.,beginner
lets-settle-on-that,s-everyday-conversations,Let's settle on that.,ලෙට්ස් සෙටල් ඔන් දැට්,එහෙනම් ඒකට එකඟ වෙමු.,beginner
deal,s-business,Deal.,ඩීල්,"හරි, එකඟයි.",beginner
youve-got-a-deal,s-business,You've got a deal.,යූව් ගොට් අ ඩීල්,"හරි, මම එකඟයි.",beginner
sounds-like-a-plan,s-making-plans,Sounds like a plan.,සවුන්ඩ්ස් ලයික් අ ප්ලෑන්,හොඳ සැලැස්මක් වගේ.,beginner
lets-stick-to-the-plan,s-making-plans,Let's stick to the plan.,ලෙට්ස් ස්ටික් ටු ද ප්ලෑන්,අපි සැලැස්මටම අනුව යමු.,beginner
lets-not-change-anything-yet,s-banking-money,Let's not change anything yet.,ලෙට්ස් නොට් චේන්ජ් එනිතිං යෙට්,තාම කිසි දෙයක් වෙනස් නොකර ඉමු.,beginner
lets-see-how-things-develop,s-everyday-conversations,Let's see how things develop.,ලෙට්ස් සී හව් තිංස් ඩිවෙලප්,තත්ත්වය කොහොමද ඉස්සරහට යන්නේ බලමු.,beginner
we-can-adjust-later-if-needed,s-everyday-conversations,We can adjust later if needed.,වී කැන් අජස්ට් ලේටර් ඉෆ් නීඩිඩ්,ඕන වුණොත් පස්සේ වෙනස් කරගමු.,intermediate
nothing-is-set-in-stone,s-everyday-conversations,Nothing is set in stone.,නතිං ඉස් සෙට් ඉන් ස්ටෝන්,කිසි දෙයක් තාම ස්ථිර කරලා නෑ.,beginner
we-can-always-change-it,s-banking-money,We can always change it.,වී කැන් ඕල්වේස් චේන්ජ් ඉට්,ඕන වෙලාවක ඒක වෙනස් කරන්න පුළුවන්.,beginner
lets-keep-our-options-open,s-everyday-conversations,Let's keep our options open.,ලෙට්ස් කීප් අවර් ඔප්ෂන්ස් ඕපන්,විකල්ප ටික අතහරින්නේ නැතුව තියාගමු.,beginner
dont-commit-just-yet,s-everyday-conversations,Don't commit just yet.,ඩෝන්ට් කමිට් ජස්ට් යෙට්,තාම ස්ථිරව එකඟ වෙන්න එපා.,beginner
wait-until-you-have-more-information,s-everyday-conversations,Wait until you have more information.,වේට් අන්ටිල් යූ හැව් මෝර් ඉන්ෆමේෂන්,තව තොරතුරු ලැබෙනකම් ඉන්න.,intermediate
whats-the-latest,s-asking-questions,What's the latest?,වට්ස් ද ලේටස්ට්?,අලුත්ම තත්ත්වය මොකක්ද?,beginner
any-updates,s-everyday-conversations,Any updates?,එනි අප්ඩේට්ස්?,අලුත් විස්තර තියෙනවද?,beginner
has-anything-changed,s-asking-questions,Has anything changed?,හැස් එනිතිං චේන්ජ්ඩ්?,මොනවාහරි වෙනස් වෙලාද?,beginner
have-you-heard-anything,s-asking-questions,Have you heard anything?,හැව් යූ හර්ඩ් එනිතිං?,මොනවාහරි ආරංචියක් ලැබුණද?,beginner
did-you-find-anything-out,s-asking-questions,Did you find anything out?,ඩිඩ් යූ ෆයින්ඩ් එනිතිං අවුට්?,මොනවාහරි හොයාගත්තද?,beginner
what-did-you-find-out,s-asking-questions,What did you find out?,වට් ඩිඩ් යූ ෆයින්ඩ් අවුට්?,මොනවද හොයාගත්තේ?,beginner
keep-me-in-the-loop,s-everyday-conversations,Keep me in the loop.,කීප් මී ඉන් ද ලූප්,සිද්ධ වෙන දේවල් ගැන මාවත් දැනුවත් කරන්න.,beginner
let-me-know-how-it-turns,s-everyday-conversations,Let me know how it turns out.,ලෙට් මී නෝ හව් ඉට් ටර්න්ස් අවුට්,අන්තිමට මොකද වුණේ කියලා මට කියන්න.,intermediate
keep-me-updated,s-everyday-conversations,Keep me updated.,කීප් මී අප්ඩේටිඩ්,අලුත් විස්තර මටත් කියන්න.,beginner
send-me-the-details,s-everyday-conversations,Send me the details.,සෙන්ඩ් මී ද ඩීටේල්ස්,විස්තර ටික මට එවන්න.,beginner
send-it-when-you-can,s-everyday-conversations,Send it when you can.,සෙන්ඩ් ඉට් වෙන් යූ කැන්,පුළුවන් වෙලාවක එවන්න.,beginner
theres-no-rush,s-everyday-conversations,There's no rush.,දෙයාර්ස් නෝ රෂ්,හදිස්සියක් නෑ.,beginner
whenever-you-get-a-chance,s-everyday-conversations,Whenever you get a chance.,වෙනෙවර් යූ ගෙට් අ චාන්ස්,වෙලාවක් ලැබුණාම.,beginner
at-your-convenience,s-everyday-conversations,At your convenience.,ඇට් යෝර් කන්වීනියන්ස්,ඔයාට පහසු වෙලාවක.,beginner
could-you-send-it-over,s-making-requests,Could you send it over?,කුඩ් යූ සෙන්ඩ් ඉට් ඕවර්?,ඒක මට එවන්න පුළුවන්ද?,beginner
ill-send-it-right-away,s-everyday-conversations,I'll send it right away.,අයිල් සෙන්ඩ් ඉට් රයිට් අවේ,මම දැන්ම එවන්නම්.,beginner
ive-already-sent-it,s-everyday-conversations,I've already sent it.,අයිව් ඕල්රෙඩි සෙන්ට් ඉට්,මම දැනටමත් එවලා.,beginner
did-you-get-my-message,s-phone-conversations,Did you get my message?,ඩිඩ් යූ ගෙට් මයි මෙසේජ්?,මගේ පණිවිඩය ලැබුණද?,beginner
did-you-see-my-text,s-phone-conversations,Did you see my text?,ඩිඩ් යූ සී මයි ටෙක්ස්ට්?,මම එවපු පණිවිඩය දැක්කද?,beginner
i-just-saw-your-message,s-phone-conversations,I just saw your message.,අයි ජස්ට් සෝ යෝර් මෙසේජ්,ඔයාගේ පණිවිඩය දැන් තමයි දැක්කේ.,beginner
sorry-for-the-late-reply,s-apologizing,Sorry for the late reply.,සොරි ෆෝ ද ලේට් රිප්ලයි,පරක්කු වෙලා උත්තර දුන්නට සමාවෙන්න.,beginner
i-completely-forgot-to-reply,s-everyday-conversations,I completely forgot to reply.,අයි කම්ප්ලීට්ලි ෆගොට් ටු රිප්ලයි,උත්තර දෙන්න මට සම්පූර්ණයෙන්ම අමතක වුණා.,beginner
ive-been-meaning-to-reply,s-everyday-conversations,I've been meaning to reply.,අයිව් බීන් මීනිං ටු රිප්ලයි,උත්තර දෙන්න හිතාගෙන හිටියේ.,beginner
my-phone-was-on-silent,s-phone-conversations,My phone was on silent.,මයි ෆෝන් වස් ඔන් සයිලන්ට්,මගේ දුරකථනයේ ශබ්දය නිහඬ කරලා තිබුණේ.,beginner
my-battery-died,s-everyday-conversations,My battery died.,මයි බැටරි ඩයිඩ්,දුරකථනයේ බැටරිය ඉවර වුණා.,beginner
i-had-no-signal,s-everyday-conversations,I had no signal.,අයි හැඩ් නෝ සිග්නල්,මට දුරකථන සම්බන්ධතාව තිබුණේ නෑ.,beginner
the-connection-keeps-dropping,s-everyday-conversations,The connection keeps dropping.,ද කනෙක්ෂන් කීප්ස් ඩ්‍රොපිං,සම්බන්ධතාව දිගටම කැඩෙනවා.,beginner
can-you-hear-me-clearly,s-making-requests,Can you hear me clearly?,කැන් යූ හියර් මී ක්ලියර්ලි?,මම කියන දේ පැහැදිලිව ඇහෙනවද?,beginner
youre-breaking-up,s-everyday-conversations,You're breaking up.,යුවර් බ්‍රේකිං අප්,ඔයාගේ හඬ කඩ කඩා ඇහෙනවා.,beginner
the-line-is-bad,s-everyday-conversations,The line is bad.,ද ලයින් ඉස් බැඩ්,දුරකථන සම්බන්ධතාව හොඳ නෑ.,beginner
let-me-call-you-back,s-everyday-conversations,Let me call you back.,ලෙට් මී කෝල් යූ බැක්,මම ආයෙ කතා කරන්නම්.,beginner
can-i-call-you-in-a,s-asking-questions,Can I call you in a bit?,කැන් අයි කෝල් යූ ඉන් අ බිට්?,ටිකකින් කතා කරන්නද?,intermediate
is-now-a-good-time-to,s-asking-questions,Is now a good time to talk?,ඉස් නව් අ ගුඩ් ටයිම් ටු ටෝක්?,දැන් කතා කරන්න හොඳ වෙලාවක්ද?,intermediate
i-cant-talk-right-now,s-everyday-conversations,I can't talk right now.,අයි කෑන්ට් ටෝක් රයිට් නව්,මට දැන් කතා කරන්න බෑ.,beginner
ill-call-when-im-free,s-everyday-conversations,I'll call when I'm free.,අයිල් කෝල් වෙන් අයිම් ෆ්‍රී,මම නිදහස් වුණාම කතා කරන්නම්.,beginner
call-me-whenever-youre-available,s-phone-conversations,Call me whenever you're available.,කෝල් මී වෙනෙවර් යුවර් අවේලබල්,ඔයාට වෙලාවක් තියෙනකොට කතා කරන්න.,beginner
i-missed-your-call,s-everyday-conversations,I missed your call.,අයි මිස්ට් යෝර් කෝල්.,ඔයාගේ කෝල් එක මට ගන්න බැරි වුණා.,beginner
did-you-call-me-earlier,s-phone-conversations,Did you call me earlier?,ඩිඩ් යූ කෝල් මී අර්ලියර්?,ඔයා කලින් මට කතා කළාද?,beginner
i-was-in-the-middle-of,s-everyday-conversations,I was in the middle of something.,අයි වස් ඉන් ද මිඩ්ල් ඔෆ් සම්තිං,මම වැඩක් මැද හිටියේ.,intermediate
sorry-i-couldnt-answer,s-apologizing,"Sorry, I couldn't answer.","සොරි, අයි කුඩන්ට් ආන්සර්","සමාවෙන්න, මට ඇමතුමට උත්තර දෙන්න බැරි වුණා.",beginner
ill-ring-you-later,s-phone-conversations,I'll ring you later.,අයිල් රිං යූ ලේටර්,මම පස්සේ කතා කරන්නම්.,beginner
send-me-a-voice-message,s-phone-conversations,Send me a voice message.,සෙන්ඩ් මී අ වොයිස් මෙසේජ්,මට හඬ පණිවිඩයක් එවන්න.,beginner
just-text-me-the-details,s-phone-conversations,Just text me the details.,ජස්ට් ටෙක්ස්ට් මී ද ඩීටේල්ස්,විස්තර ටික පණිවිඩයකින් එවන්න.,beginner
ill-check-it-later,s-everyday-conversations,I'll check it later.,අයිල් චෙක් ඉට් ලේටර්.,මං ඒක පස්සේ බලන්නම්.,beginner
i-havent-had-a-chance-to,s-everyday-conversations,I haven't had a chance to look yet.,අයි හැවන්ට් හැඩ් අ චාන්ස් ටු ලුක් යෙට්,මට තාම බලන්න වෙලාවක් ලැබුණේ නෑ.,intermediate
ill-take-a-look-tonight,s-everyday-conversations,I'll take a look tonight.,අයිල් ටේක් අ ලුක් ටුනයිට්,මම අද රෑ බලන්නම්.,beginner
remind-me-later,s-everyday-conversations,Remind me later.,රිමයින්ඩ් මී ලේටර්,පස්සේ මට මතක් කරන්න.,beginner
dont-let-me-forget,s-everyday-conversations,Don't let me forget.,ඩෝන්ට් ලෙට් මී ෆගෙට්,මට අමතක වෙන්න දෙන්න එපා.,beginner
i-nearly-forgot,s-everyday-conversations,I nearly forgot.,අයි නියර්ලි ෆගොට්,මට තව පොඩ්ඩෙන් අමතක වෙනවා.,beginner
it-completely-slipped-my-mind,s-phrasal-verbs,It completely slipped my mind.,ඉට් කම්ප්ලීට්ලි ස්ලිප්ට් මයි මයින්ඩ්.,ඒක මට සම්පූර්ණයෙන්ම අමතක වෙලා ගියා.,beginner
thanks-for-reminding-me,s-thanking,Thanks for reminding me.,තෑන්ක්ස් ෆෝ රිමයින්ඩිං මී,මට මතක් කළාට ස්තුතියි.,beginner
im-glad-you-reminded-me,s-feelings-emotions,I'm glad you reminded me.,අයිම් ග්ලෑඩ් යූ රිමයින්ඩිඩ් මී,ඔයා මට මතක් කළ එක හොඳයි.,beginner
i-knew-i-was-forgetting-something,s-everyday-conversations,I knew I was forgetting something.,අයි නිව් අයි වස් ෆගෙටිං සම්තිං,මට මොකක්හරි අමතක වෙලා කියලා හිතුණා.,intermediate
ill-write-it-down,s-everyday-conversations,I'll write it down.,අයිල් රයිට් ඉට් ඩවුන්,මම ඒක ලියාගන්නම්.,beginner
let-me-make-a-note-of,s-everyday-conversations,Let me make a note of that.,ලෙට් මී මේක් අ නෝට් ඔෆ් දැට්,මම ඒක සටහන් කරගන්නම්.,intermediate
ill-remember-that,s-everyday-conversations,I'll remember that.,අයිල් රිමෙම්බර් දැට්.,මම ඒක මතක තියාගන්නම්.,beginner
thats-good-to-know,s-everyday-conversations,That's good to know.,දැට්ස් ගුඩ් ටු නෝ,ඒක දැනගත්ත එක හොඳයි.,beginner
ill-keep-that-in-mind,s-everyday-conversations,I'll keep that in mind.,අයිල් කීප් දැට් ඉන් මයින්ඩ්,මම ඒක මතකයේ තියාගන්නම්.,beginner
thanks-for-the-heads-up,s-thanking,Thanks for the heads-up.,තෑන්ක්ස් ෆෝ ද හෙඩ්ස් අප්,කලින් දැනුම් දුන්නට ස්තුතියි.,beginner
i-appreciate-the-warning,s-thanking,I appreciate the warning.,අයි අප්‍රීෂියේට් ද වෝර්නිං,කලින් අනතුරු ඇඟවීම මම අගය කරනවා.,beginner
good-thing-you-told-me,s-everyday-conversations,Good thing you told me.,ගුඩ් තිං යූ ටෝල්ඩ් මී,ඔයා කිව්ව එක හොඳයි.,beginner
i-had-no-idea-about-that,s-everyday-conversations,I had no idea about that.,අයි හැඩ් නෝ අයිඩියා අබවුට් දැට්,ඒ ගැන මම කිසි දෙයක් දැනගෙන හිටියේ නෑ.,intermediate
i-didnt-know-that,s-everyday-conversations,I didn't know that.,අයි ඩිඩ්න්ට් නෝ දැට්,මම ඒක දැනගෙන හිටියේ නෑ.,beginner
you-learn-something-new-every-day,s-school-education,You learn something new every day.,යූ ලර්න් සම්තිං නිව් එව්රි ඩේ.,හැම දවසකම අලුත් දෙයක් ඉගෙනගන්න ලැබෙනවා.,intermediate
thats-useful-information,s-everyday-conversations,That's useful information.,දැට්ස් යූස්ෆුල් ඉන්ෆමේෂන්,ඒක ප්‍රයෝජනවත් තොරතුරක්.,beginner
ill-remember-that-for-next-time,s-everyday-conversations,I'll remember that for next time.,අයිල් රිමෙම්බර් දැට් ෆෝ නෙක්ස්ට් ටයිම්,ඊළඟ වතාවට මම ඒක මතක තියාගන්නම්.,intermediate
lesson-learned,s-school-education,Lesson learned.,ලෙසන් ලර්න්ඩ්.,"හරි, මේකෙන් පාඩමක් ඉගෙනගත්තා.",beginner
at-least-now-we-know,s-everyday-conversations,At least now we know.,ඇට් ලීස්ට් නව් වී නෝ,අඩුම ගානේ දැන් අපි දන්නවා.,beginner
you-live-and-learn,s-school-education,You live and learn.,යූ ලිව් ඇන්ඩ් ලර්න්.,ජීවිතේ අත්දැකීම් වලින් ඉගෙනගන්නවා.,beginner
whats-your-take-on-it,s-asking-questions,What's your take on it?,වට්ස් යෝර් ටේක් ඔන් ඉට්?,ඒ ගැන ඔයාගේ අදහස මොකක්ද?,beginner
how-do-you-see-it,s-asking-questions,How do you see it?,හව් ඩු යූ සී ඉට්?,ඔයා ඒක දකින්නේ කොහොමද?,beginner
whats-your-view-on-this,s-asking-questions,What's your view on this?,වට්ස් යෝර් වියූ ඔන් දිස්?,මේ ගැන ඔයාගේ මතය මොකක්ද?,beginner
what-makes-you-say-that,s-asking-questions,What makes you say that?,වට් මේක්ස් යූ සේ දැට්?,ඔයාට එහෙම කියන්න හිතුණේ ඇයි?,beginner
why-do-you-think-that,s-asking-questions,Why do you think that?,වයි ඩු යූ තිංක් දැට්?,ඔයා එහෙම හිතන්නේ ඇයි?,beginner
what-makes-you-think-so,s-asking-questions,What makes you think so?,වට් මේක්ස් යූ තිංක් සෝ?,ඔයාට එහෙම හිතෙන්න හේතුව මොකක්ද?,beginner
how-did-you-come-to-that,s-asking-questions,How did you come to that conclusion?,හව් ඩිඩ් යූ කම් ටු දැට් කන්ක්ලූෂන්?,ඔයා ඒ නිගමනයට ආවේ කොහොමද?,intermediate
can-you-elaborate-on-that,s-making-requests,Can you elaborate on that?,කැන් යූ ඉලැබරේට් ඔන් දැට්?,ඒ ගැන තව ටිකක් විස්තර කරන්න පුළුවන්ද?,beginner
what-exactly-do-you-mean,s-agreeing-disagreeing,What exactly do you mean?,වට් එක්සැක්ට්ලි ඩු යූ මීන්?,හරියටම ඔයා කියන්නේ මොකක්ද?,beginner
can-you-clarify-that,s-making-requests,Can you clarify that?,කැන් යූ ක්ලැරිෆයි දැට්?,ඒක පැහැදිලි කරන්න පුළුවන්ද?,beginner
let-me-make-sure-i-understand,s-everyday-conversations,Let me make sure I understand.,ලෙට් මී මේක් ෂුවර් අයි අන්ඩර්ස්ටෑන්ඩ්,මට හරියට තේරුණාද බලන්න.,intermediate
so-what-youre-saying-is,s-everyday-conversations,So what you're saying is…,සෝ වට් යුවර් සේයිං ඉස්,එහෙනම් ඔයා කියන්නේ…,beginner
if-i-understand-you-correctly,s-everyday-conversations,If I understand you correctly…,ඉෆ් අයි අන්ඩර්ස්ටෑන්ඩ් යූ කරෙක්ට්ලි,මට හරියට තේරුණා නම්…,beginner
am-i-understanding-this-correctly,s-everyday-conversations,Am I understanding this correctly?,ඇම් අයි අන්ඩර්ස්ටෑන්ඩිං දිස් කරෙක්ට්ලි?,මම මේක හරියට තේරුම් ගන්නවද?,beginner
is-that-what-you-meant,s-asking-questions,Is that what you meant?,ඉස් දැට් වට් යූ මෙන්ට්?,ඔයා අදහස් කළේ ඒකද?,beginner
thats-not-quite-what-i-meant,s-everyday-conversations,That's not quite what I meant.,දැට්ස් නොට් ක්වයිට් වට් අයි මෙන්ට්.,මම හරියටම අදහස් කළේ ඒක නෙවෙයි.,intermediate
what-i-meant-was,s-everyday-conversations,What I meant was…,වට් අයි මෙන්ට් වස්,මම අදහස් කළේ…,beginner
i-probably-didnt-explain-it-well,s-everyday-conversations,I probably didn't explain it well.,අයි ප්‍රොබබ්ලි ඩිඩ්න්ට් එක්ස්ප්ලේන් ඉට් වෙල්,සමහරවිට මම ඒක හොඳට පැහැදිලි කළේ නෑ.,intermediate
let-me-try-again,s-everyday-conversations,Let me try again.,ලෙට් මී ට්‍රයි අගේන්,මම ආයෙ කියලා බලන්නම්.,beginner
maybe-im-not-saying-this-clearly,s-everyday-conversations,Maybe I'm not saying this clearly.,මේබි අයිම් නොට් සේයිං දිස් ක්ලියර්ලි,මම මේක පැහැදිලිව කියන්නේ නැතිව ඇති.,intermediate
im-having-trouble-putting-it-into,s-everyday-conversations,I'm having trouble putting it into words.,අයිම් හැවිං ට්‍රබල් පුටිං ඉට් ඉන්ටු වර්ඩ්ස්,මට මේක වචනවලට දාගෙන කියන්න අමාරුයි.,intermediate
its-hard-to-explain,s-everyday-conversations,It's hard to explain.,ඉට්ස් හාඩ් ටු එක්ස්ප්ලේන්,ඒක පැහැදිලි කරන්න අමාරුයි.,beginner
you-kind-of-had-to-be,s-everyday-conversations,You kind of had to be there.,යූ කයින්ඩ් ඔෆ් හැඩ් ටු බී දෙයාර්,ඒක හරියට තේරෙන්න නම් එතැන හිටියම තමා.,intermediate
its-difficult-to-put-into-words,s-everyday-conversations,It's difficult to put into words.,ඉට්ස් ඩිෆිකල්ට් ටු පුට් ඉන්ටු වර්ඩ්ස්,ඒක වචනවලින් කියන්න අමාරුයි.,intermediate
i-dont-know-how-to-explain,s-everyday-conversations,I don't know how to explain it.,අයි ඩෝන්ට් නෝ හව් ටු එක්ස්ප්ලේන් ඉට්,ඒක කොහොම පැහැදිලි කරන්නද මම දන්නේ නෑ.,intermediate
youll-understand-when-you-see-it,s-everyday-conversations,You'll understand when you see it.,යූල් අන්ඩර්ස්ටෑන්ඩ් වෙන් යූ සී ඉට්,දැක්කාම තේරෙයි.,intermediate
let-me-show-you-instead,s-everyday-conversations,Let me show you instead.,ලෙට් මී ෂෝ යූ ඉන්ස්ටෙඩ්,කියනවට වඩා මම පෙන්නන්නම්.,beginner
its-easier-to-show-than-explain,s-everyday-conversations,It's easier to show than explain.,ඉට්ස් ඊසියර් ටු ෂෝ දෑන් එක්ස්ප්ලේන්,පැහැදිලි කරනවට වඩා පෙන්නන එක ලේසියි.,intermediate
follow-my-lead,s-everyday-conversations,Follow my lead.,ෆොලෝ මයි ලීඩ්,මම කරන විදිහට කරන්න.,beginner
watch-how-i-do-it,s-everyday-conversations,Watch how I do it.,වොච් හව් අයි ඩූ ඉට්,මම කරන විදිහ බලන්න.,beginner
do-it-like-this,s-everyday-conversations,Do it like this.,ඩූ ඉට් ලයික් දිස්,මේ විදිහට කරන්න.,beginner
youre-getting-the-hang-of-it,s-everyday-conversations,You're getting the hang of it.,යුවර් ගෙටිං ද හැං ඔෆ් ඉට්,දැන් ඔයාට මේක කරන හැටි අල්ලගෙන එනවා.,intermediate
youll-get-used-to-it,s-everyday-conversations,You'll get used to it.,යූල් ගෙට් යූස්ට් ටු ඉට්,ටිකෙන් ටික පුරුදු වෙයි.,beginner
it-gets-easier-with-practice,s-everyday-conversations,It gets easier with practice.,ඉට් ගෙට්ස් ඊසියර් විත් ප්‍රැක්ටිස්,පුහුණුවත් එක්ක මේක ලේසි වෙනවා.,beginner
practice-makes-a-big-difference,s-everyday-conversations,Practice makes a big difference.,ප්‍රැක්ටිස් මේක්ස් අ බිග් ඩිෆරන්ස්,පුහුණුවෙන් ලොකු වෙනසක් වෙනවා.,beginner
youre-improving-quickly,s-everyday-conversations,You're improving quickly.,යුවර් ඉම්ප්‍රූවිං ක්වික්ලි,ඔයා ඉක්මනින් දියුණු වෙනවා.,beginner
thats-much-better,s-everyday-conversations,That's much better.,දැට්ස් මච් බෙටර්.,දැන් ගොඩක් හොඳයි.,beginner
youre-getting-better-at-this,s-everyday-conversations,You're getting better at this.,යුවර් ගෙටිං බෙටර් ඇට් දිස්,ඔයා මේකෙ හොඳ වෙමින් යනවා.,beginner
youve-come-a-long-way,s-everyday-conversations,You've come a long way.,යූව් කම් අ ලොං වේ.,ඔයා ගොඩක් දුරට දියුණු වෙලා.,beginner
theres-still-room-to-improve,s-home,There's still room to improve.,දෙයාර්ස් ස්ටිල් රූම් ටු ඉම්ප්‍රූව්,තව දියුණු වෙන්න ඉඩ තියෙනවා.,beginner
keep-working-at-it,s-everyday-conversations,Keep working at it.,කීප් වර්කිං ඇට් ඉට්,ඒක දිගටම පුහුණු කරන්න.,beginner
dont-let-one-mistake-stop-you,s-problems-complaints,Don't let one mistake stop you.,ඩෝන්ට් ලෙට් වන් මිස්ටේක් ස්ටොප් යූ,එක වැරැද්දක් නිසා නතර වෙන්න එපා.,intermediate
mistakes-are-part-of-learning,s-everyday-conversations,Mistakes are part of learning.,මිස්ටේක්ස් ආර් පාර්ට් අව් ලර්නිං.,වැරදි කරන එක ඉගෙනගැනීමේ කොටසක්.,beginner
nobody-gets-it-right-every-time,s-everyday-conversations,Nobody gets it right every time.,නෝබඩි ගෙට්ස් ඉට් රයිට් එව්රි ටයිම්,හැම වතාවෙම කාටවත් හරියටම කරන්න බෑ.,intermediate
youll-learn-as-you-go,s-school-education,You'll learn as you go.,යූල් ලර්න් ඇස් යූ ගෝ,කරගෙන යද්දිම ඉගෙනගනීවි.,beginner
experience-will-teach-you,s-job-interviews,Experience will teach you.,එක්ස්පීරියන්ස් විල් ටීච් යූ,අත්දැකීම් වලින් ඔයා ඉගෙනගනීවි.,beginner
